direction,stage,condition,mcc_mean,mcc_std,asr_mean,recall_mean,precision_mean,f1_mean,mcc_ci95
CIC->AWS,S0_zeroshot,clean,0.0008172068066202758,0.0004860759706480487,,0.00011350737797956867,0.8,0.00022697868740293014,"(np.float64(0.00021366377347464306), np.float64(0.0014207498397659085))"
CIC->AWS,S1_fewshot,clean,0.18390560242042223,0.07205270195563372,,0.9702610669693531,0.995441196330843,0.9826817109950239,"(np.float64(0.09444035642880574), np.float64(0.27337084841203874))"
CIC->AWS,S2_fewshot_adv,clean,0.2456732513679063,0.057493652680374006,,0.9659477866061295,0.9966982745404238,0.9810811286071308,"(np.float64(0.17428545270945447), np.float64(0.3170610500263582))"
CIC->AWS,S2_fewshot_adv,fgsm_eps0.05,0.03397787631004372,0.07524715471982688,0.8351112681031438,0.1590238365493757,0.4,0.17723617199992225,"(np.float64(-0.05945380667283395), np.float64(0.1274095592929214))"
CIC->AWS,S2_fewshot_adv,fgsm_eps0.1,0.03397787631004372,0.07524715471982688,0.8351112681031438,0.1590238365493757,0.4,0.17723617199992225,"(np.float64(-0.05945380667283395), np.float64(0.1274095592929214))"
CIC->AWS,S2_fewshot_adv,fgsm_eps0.2,0.03388978041622786,0.07526347309091795,0.8351112681031438,0.1589784335981839,0.4,0.17717669048730367,"(np.float64(-0.05956216450054292), np.float64(0.12734172533299865))"
CIC->AWS,S2_fewshot_adv,pgd_eps0.05,-0.06369978723191537,0.19772200732117642,0.8351112681031438,0.15895573212258798,0.2,0.1771312926890969,"(np.float64(-0.30920408537520166), np.float64(0.18180451091137095))"
CIC->AWS,S2_fewshot_adv,pgd_eps0.1,-0.039356910396858936,0.19628108663872693,0.8351112681031438,0.15895573212258798,0.2,0.1771312926890969,"(np.float64(-0.2830720692044805), np.float64(0.20435824841076264))"
CIC->AWS,S2_fewshot_adv,pgd_eps0.2,-0.039356910396858936,0.19628108663872693,0.8351112681031438,0.15895573212258798,0.2,0.1771312926890969,"(np.float64(-0.2830720692044805), np.float64(0.20435824841076264))"
UNSW->AWS,S0_zeroshot,clean,0.0516659503669553,0.0752060246728007,,0.9969353007945516,0.99281257685321,0.9948672632336141,"(np.float64(-0.04171466291728554), np.float64(0.14504656365119614))"
UNSW->AWS,S1_fewshot,clean,0.025937843428662382,0.0311561945062254,,0.9985925085130534,0.9925313992192606,0.9955527002745083,"(np.float64(-0.012747681610751672), np.float64(0.06462336846807644))"
UNSW->AWS,S2_fewshot_adv,clean,0.1433801284590933,0.15309177897915802,,0.9958910329171395,0.9935029411477171,0.9946936789545063,"(np.float64(-0.04670842192029537), np.float64(0.33346867883848197))"
UNSW->AWS,S2_fewshot_adv,fgsm_eps0.05,-0.0002833019887407867,0.01415840570265971,0.0023698216301952005,0.9939160045402952,0.9924515377345177,0.9931820839412744,"(np.float64(-0.017863284621696254), np.float64(0.01729668064421468))"
UNSW->AWS,S2_fewshot_adv,fgsm_eps0.1,0.0034905942884456745,0.020775211701912818,0.0015284241313707207,0.9947559591373439,0.9924803892262322,0.993614774425103,"(np.float64(-0.022305238136881074), np.float64(0.02928642671377242))"
UNSW->AWS,S2_fewshot_adv,fgsm_eps0.2,0.0033484408673737087,0.0210580854940615,0.001799028193758962,0.9946424517593643,0.9924795552423074,0.9935588136187906,"(np.float64(-0.022798625761699432), np.float64(0.02949550749644685))"
UNSW->AWS,S2_fewshot_adv,pgd_eps0.05,0.07157627802338114,0.10578907041847169,0.0026869549380879416,0.9944835414301929,0.9929054197985481,0.9936936230025587,"(np.float64(-0.05977820211867825), np.float64(0.20293075816544054))"
UNSW->AWS,S2_fewshot_adv,pgd_eps0.1,0.07400186075389972,0.11069039611582443,0.002618302862490876,0.9945516458569807,0.9929057894108542,0.9937277877264934,"(np.float64(-0.06343841905003349), np.float64(0.21144214055783295))"
UNSW->AWS,S2_fewshot_adv,pgd_eps0.2,0.07400186075389972,0.11069039611582443,0.002618302862490876,0.9945516458569807,0.9929057894108542,0.9937277877264934,"(np.float64(-0.06343841905003349), np.float64(0.21144214055783295))"
