direction,model,condition,mcc_mean,mcc_std,asr_mean,recall_mean,precision_mean,f1_mean,mcc_ci95
CIC->UNSW,adv,clean,-0.0486522232978477,0.20277763370154614,,0.06868145716030095,0.15345986401098186,0.09477601024970429,"(np.float64(-0.3004339107060083), np.float64(0.2031294641103129))"
CIC->UNSW,adv,fgsm_eps0.05,0.12135856443980633,0.2864563389627904,0.5020543406229291,0.12351952006544561,0.1967994207096307,0.1517772875771368,"(np.float64(-0.23432395870754533), np.float64(0.477041087587158))"
CIC->UNSW,adv,fgsm_eps0.1,-0.03746831290430881,0.042539716013073055,0.9994035785288271,0.0001362016593774646,0.012236232629953681,0.0002693904451131652,"(np.float64(-0.09028834677155387), np.float64(0.01535172096293625))"
CIC->UNSW,adv,fgsm_eps0.2,0.03091508237878886,0.10140226237150085,0.9988734261100066,0.035140461828487415,0.4084929336039725,0.058417413143118456,"(np.float64(-0.09499245614431621), np.float64(0.15682262090189394))"
CIC->UNSW,adv,pgd_eps0.05,0.12572040007812332,0.28304230558493987,0.5021868787276342,0.12319226597727609,0.4367905896020912,0.15154992860846386,"(np.float64(-0.2257230407352854), np.float64(0.4771638408915321))"
CIC->UNSW,adv,pgd_eps0.1,0.12572040007812332,0.28304230558493987,0.5021868787276342,0.12319226597727609,0.4367905896020912,0.15154992860846386,"(np.float64(-0.2257230407352854), np.float64(0.4771638408915321))"
CIC->UNSW,adv,pgd_eps0.2,0.12572040007812332,0.28304230558493987,0.5021868787276342,0.12319226597727609,0.4367905896020912,0.15154992860846386,"(np.float64(-0.2257230407352854), np.float64(0.4771638408915321))"
CIC->UNSW,baseline,clean,-0.06237077384587242,0.032577747821023205,,0.08426924557882325,0.3794914932595838,0.11715609482434408,"(np.float64(-0.10282139045779813), np.float64(-0.021920157233946705))"
CIC->UNSW,baseline,fgsm_eps0.05,-0.1354658474897464,0.12021331702935227,0.31985194657537264,0.05784982682004956,0.32736363743442604,0.08173091757361065,"(np.float64(-0.28473039534974887), np.float64(0.013798700370256045))"
CIC->UNSW,baseline,fgsm_eps0.1,-0.14356361833933554,0.17436044876342502,0.32197963784484646,0.060992221377773194,0.382864365307049,0.08232033611501492,"(np.float64(-0.3600607102795328), np.float64(0.07293347360086175))"
CIC->UNSW,baseline,fgsm_eps0.2,-0.1473157178522548,0.16118434142819704,0.35341556167507837,0.0653935676878183,0.35412892059491313,0.08855324017605057,"(np.float64(-0.347452511677831), np.float64(0.052821075973321335))"
CIC->UNSW,baseline,pgd_eps0.05,-0.1393575040499606,0.11800775871944844,0.23229439626379902,0.06128482804950475,0.31980621507376117,0.08693839623613248,"(np.float64(-0.2858834895606164), np.float64(0.0071684814606950975))"
CIC->UNSW,baseline,pgd_eps0.1,-0.14473219863152073,0.11128575857843358,0.23442904322603217,0.06126667260773709,0.29591304757068404,0.08689039357193747,"(np.float64(-0.2829117185711577), np.float64(-0.006552678691883779))"
CIC->UNSW,baseline,pgd_eps0.2,-0.14473219863152073,0.11128575857843358,0.23442904322603217,0.06126667260773709,0.29591304757068404,0.08689039357193747,"(np.float64(-0.2829117185711577), np.float64(-0.006552678691883779))"
CIC->UNSW,fewshot,clean,0.6502382322503454,0.016441943035776348,,0.9702325176918098,0.7614004098158074,0.8530805851191692,"(np.float64(0.6298228635223047), np.float64(0.6706536009783861))"
CIC->UNSW,fewshot,fgsm_eps0.05,0.5248914696366647,0.049321197676752866,0.015682528714590242,0.9640983684212487,0.6970376589983942,0.8086871777491271,"(np.float64(0.4636511141331495), np.float64(0.58613182514018))"
CIC->UNSW,fewshot,fgsm_eps0.1,0.49325493644375557,0.06882571601099749,0.02043782793006113,0.9600215057975957,0.6849741355919337,0.7988300293980283,"(np.float64(0.40779652272230343), np.float64(0.5787133501652078))"
CIC->UNSW,fewshot,fgsm_eps0.2,0.4736628746700647,0.07504875184786228,0.02599046595162937,0.9542535989596566,0.679227272361037,0.7928145453431241,"(np.float64(0.3804775413904457), np.float64(0.5668482079496837))"
CIC->UNSW,fewshot,pgd_eps0.05,0.5265758689153774,0.05455362317916012,0.01442565042665723,0.9618407805995158,0.6993627650683913,0.8093921465632998,"(np.float64(0.45883859904223984), np.float64(0.5943131387885151))"
CIC->UNSW,fewshot,pgd_eps0.1,0.5235961781921712,0.04945257921817273,0.017017543142659,0.9592612712195049,0.6991956134623069,0.8083340498490061,"(np.float64(0.4621926909586464), np.float64(0.5849996654256961))"
CIC->UNSW,fewshot,pgd_eps0.2,0.523652767959397,0.04944772507541491,0.017007330982799305,0.9592981120619722,0.6992039547947437,0.8083524630189839,"(np.float64(0.46225530794017666), np.float64(0.5850502279786173))"
CIC->UNSW,fewshot_adv,clean,0.6615262201598467,0.01208207337489044,,0.9637581628011972,0.7726788588183037,0.8576539459628976,"(np.float64(0.646524344626589), np.float64(0.6765280956931045))"
CIC->UNSW,fewshot_adv,fgsm_eps0.05,0.4484846075741677,0.17577301802471929,0.13686028967940694,0.8449305747408238,0.6933637581610388,0.7436757754806346,"(np.float64(0.23023357923725202), np.float64(0.6667356359110834))"
CIC->UNSW,fewshot_adv,fgsm_eps0.1,0.4540517498365048,0.24889015709021026,0.15760361700091546,0.8256223753180236,0.7002666241967526,0.7474691027212906,"(np.float64(0.14501380227031085), np.float64(0.7630896974026988))"
CIC->UNSW,fewshot_adv,fgsm_eps0.2,0.5038354984899313,0.2099723162722986,0.16299891983411446,0.8198286945632904,0.7371217620312827,0.7599635648445588,"(np.float64(0.2431204327551632), np.float64(0.7645505642246992))"
CIC->UNSW,fewshot_adv,pgd_eps0.05,0.3586534226066117,0.0972844432920931,0.01746434032442355,0.9578468373662737,0.6314942190869935,0.7605721296607564,"(np.float64(0.23785883178552386), np.float64(0.47944801342769966))"
CIC->UNSW,fewshot_adv,pgd_eps0.1,0.30155924938382983,0.1452149276534263,0.05489659212741094,0.9217713341729089,0.6200706164779932,0.740233534346301,"(np.float64(0.12125110171480583), np.float64(0.48186739705285386))"
CIC->UNSW,fewshot_adv,pgd_eps0.2,0.3015687712295364,0.14520378263131453,0.054887111859856744,0.921780407787413,0.6200733766888299,0.7402388052070497,"(np.float64(0.12127446193322777), np.float64(0.48186308052584503))"
UNSW->CIC,adv,clean,-0.07918097720163354,0.05180438334103109,,0.3401737579431342,0.1304173924572483,0.18143619099817618,"(np.float64(-0.14350461494533878), np.float64(-0.014857339457928276))"
UNSW->CIC,adv,fgsm_eps0.05,-0.04435492407092377,0.25883767571255745,0.3133689727127479,0.6087292903905215,0.13297315488943012,0.216688368885934,"(np.float64(-0.3657443473819478), np.float64(0.2770344992401002))"
UNSW->CIC,adv,fgsm_eps0.1,-0.24045711532791078,0.4114113577579109,0.4669226878444034,0.44862080878674443,0.10428502066794061,0.16813281400416638,"(np.float64(-0.7512917867080386), np.float64(0.270377556052217))"
UNSW->CIC,adv,fgsm_eps0.2,-0.22592754284499658,0.33570982180375514,0.43262151542100363,0.5080590989936378,0.11279865147448058,0.18343360683153678,"(np.float64(-0.6427663424221212), np.float64(0.19091125673212797))"
UNSW->CIC,adv,pgd_eps0.05,-0.22440539723428418,0.2640374222512403,0.1999421698487562,0.41809874713730083,0.1018770674977156,0.16261051844723434,"(np.float64(-0.5522511586221752), np.float64(0.10344036415360688))"
UNSW->CIC,adv,pgd_eps0.1,-0.21184878143292557,0.2975152827565414,0.19548728015179145,0.42125676866743467,0.1081210686491864,0.17071895043544036,"(np.float64(-0.5812627969471369), np.float64(0.1575652340812857))"
UNSW->CIC,adv,pgd_eps0.2,-0.21179834214930676,0.2975202174968528,0.19564328639204107,0.42128565902081705,0.10814121968218296,0.1707440916324689,"(np.float64(-0.5812184849529033), np.float64(0.15762180065428977))"
UNSW->CIC,baseline,clean,-0.08640722033719193,0.036931172864571205,,0.04187037253052307,0.054289479488353054,0.04088499548970462,"(np.float64(-0.13226332809456987), np.float64(-0.040551112579814))"
UNSW->CIC,baseline,fgsm_eps0.05,0.08761551464695269,0.34868072904592945,0.8331112989066127,0.3320059900325941,0.22288681065206634,0.24529887998298774,"(np.float64(-0.3453287934768202), np.float64(0.5205598227707257))"
UNSW->CIC,baseline,fgsm_eps0.1,0.0578924783539268,0.3454308268744486,0.8400775362212108,0.28821924727166504,0.21648624015967868,0.22940213618834285,"(np.float64(-0.371016543245834), np.float64(0.4868014999536876))"
UNSW->CIC,baseline,fgsm_eps0.2,-0.021059992903641155,0.3883767547606252,0.8243037266974014,0.18341447490862373,0.18118555438125958,0.17686885567863292,"(np.float64(-0.5032934270291227), np.float64(0.46117344122184045))"
UNSW->CIC,baseline,pgd_eps0.05,0.08862168494886026,0.40220211278711415,0.5727300617638539,0.3193687632760194,0.23461491726623254,0.24197335373102385,"(np.float64(-0.4107781985003901), np.float64(0.5880215683981106))"
UNSW->CIC,baseline,pgd_eps0.1,0.08476756302637742,0.40107061772940084,0.5781221677247042,0.3193102332734984,0.23138350524596,0.24077100703157245,"(np.float64(-0.4132273837455649), np.float64(0.5827625097983197))"
UNSW->CIC,baseline,pgd_eps0.2,0.08444088999397642,0.40111977880155497,0.5791057742820811,0.31919139786054535,0.2313034035596663,0.24067704230953355,"(np.float64(-0.4136150983113728), np.float64(0.5824968782993256))"
UNSW->CIC,fewshot,clean,0.8991631822873124,0.004066711559338446,,0.9033487756304363,0.928741865074825,0.9158580717275836,"(np.float64(0.8941136929530028), np.float64(0.904212671621622))"
UNSW->CIC,fewshot,fgsm_eps0.05,-0.15356552047769162,0.07186486435233119,0.984341957043196,0.014164818950965278,0.027271312048719264,0.01820014330170586,"(np.float64(-0.24279753527977854), np.float64(-0.06433350567560477))"
UNSW->CIC,fewshot,fgsm_eps0.1,-0.1693173202120006,0.032140056953868464,0.9852229136513599,0.01328352919845136,0.016198784382413643,0.014483645731401058,"(np.float64(-0.20922447183183773), np.float64(-0.12941016859216353))"
UNSW->CIC,fewshot,fgsm_eps0.2,-0.1153977585656836,0.06289632385033364,0.9856800938864184,0.012900502544876406,0.017353655089298405,0.013889568084160942,"(np.float64(-0.19349385951000775), np.float64(-0.037301657621359396))"
UNSW->CIC,fewshot,pgd_eps0.05,-0.0927191262424342,0.1636404799019854,0.9308105416391778,0.06364451521860984,0.13853721244298606,0.07386120475462767,"(np.float64(-0.29590561878551647), np.float64(0.11046736630064807))"
UNSW->CIC,fewshot,pgd_eps0.1,-0.12381741883219803,0.12932974930534746,0.938028462732116,0.05792939212365087,0.08451287583614626,0.06268283119245244,"(np.float64(-0.2844015124413665), np.float64(0.036766674776970446))"
UNSW->CIC,fewshot,pgd_eps0.2,-0.12344044126201001,0.12907294806199493,0.9380609144601705,0.058251873598820794,0.08486171256037423,0.06301975108047495,"(np.float64(-0.2837056740126137), np.float64(0.03682479148859369))"
UNSW->CIC,fewshot_adv,clean,0.8983299048063647,0.004344409783268856,,0.9023129768992415,0.928380944731974,0.9151537963546179,"(np.float64(0.8929356075850353), np.float64(0.9037242020276935))"
UNSW->CIC,fewshot_adv,fgsm_eps0.05,-0.007134014080715031,0.1351908656479081,0.9640013764950621,0.04287643426915818,0.2462838123203633,0.060760782324888754,"(np.float64(-0.17499564484172483), np.float64(0.16072761668029475))"
UNSW->CIC,fewshot_adv,fgsm_eps0.1,0.21931655386166482,0.11062779611566774,0.8716824102605798,0.12505953466094835,0.6401633168169817,0.19914460433623818,"(np.float64(0.08195400222421367), np.float64(0.35667910549911586))"
UNSW->CIC,fewshot_adv,fgsm_eps0.2,0.28073688280526077,0.27859937034103466,0.779946174557133,0.21568323871711578,0.5573648705953314,0.30268859180222296,"(np.float64(-0.06518992526944017), np.float64(0.6266636908799617))"
UNSW->CIC,fewshot_adv,pgd_eps0.05,0.22253671236114356,0.25046845130032375,0.6971781428968464,0.2802719097297435,0.41583977145545326,0.2950387213568354,"(np.float64(-0.08846094630432186), np.float64(0.533534371026609))"
UNSW->CIC,fewshot_adv,pgd_eps0.1,0.1784488947298755,0.2329559860035715,0.7383799421121275,0.23971741586848788,0.3507844106015649,0.26134720940975076,"(np.float64(-0.11080416625681974), np.float64(0.4677019557165707))"
UNSW->CIC,fewshot_adv,pgd_eps0.2,0.1785154702232242,0.23343524568760138,0.7383799421121275,0.23971741586848788,0.3489874030001905,0.26170645387956326,"(np.float64(-0.11133267025892146), np.float64(0.4683636107053698))"
