src_ip,dst_ip,src_port,dst_port,protocol,bidirectional_packets,bidirectional_first_seen_ms,ground_truth,predicted,gt_bin,pred_bin
10.3.1.214,10.3.2.38,60202,80,6,11,1787885115047,Benign,Benign,0,0
10.3.1.214,10.3.2.38,60216,80,6,11,1787885116072,Benign,Benign,0,0
10.3.1.214,10.3.2.38,60218,80,6,11,1787885117103,Benign,Benign,0,0
10.3.1.214,10.3.2.38,60224,80,6,10,1787885118126,Benign,Benign,0,0
10.3.1.214,10.3.2.38,60228,80,6,10,1787885119160,Benign,Benign,0,0
10.3.1.214,10.3.2.38,43034,80,6,11,1787885120189,Benign,Benign,0,0
10.3.1.214,10.3.2.38,43040,80,6,11,1787885121218,Benign,Benign,0,0
10.3.1.214,10.3.2.38,43046,80,6,11,1787885122238,Benign,Benign,0,0
10.3.1.214,10.3.2.38,43052,80,6,11,1787885123271,Benign,Benign,0,0
10.3.1.214,10.3.2.38,43060,80,6,11,1787885124298,Benign,Benign,0,0
10.3.1.214,10.3.2.38,43076,80,6,11,1787885125328,Benign,Benign,0,0
10.3.1.214,10.3.2.38,43084,80,6,10,1787885126351,Benign,Benign,0,0
10.3.1.214,10.3.2.38,43088,80,6,11,1787885127377,Benign,Benign,0,0
10.3.1.214,10.3.2.38,43090,80,6,11,1787885128409,Benign,Benign,0,0
10.3.1.214,10.3.2.38,43096,80,6,11,1787885129434,Benign,Benign,0,0
10.3.1.214,10.3.2.38,43642,80,6,11,1787885130458,Benign,Benign,0,0
10.3.1.214,10.3.2.38,43652,80,6,11,1787885131487,Benign,Benign,0,0
10.3.1.214,10.3.2.38,43666,80,6,11,1787885132511,Benign,Benign,0,0
10.3.1.214,10.3.2.38,43674,80,6,11,1787885133532,Benign,Benign,0,0
10.3.1.214,10.3.2.38,43680,80,6,11,1787885134561,Benign,Benign,0,0
10.3.1.214,10.3.2.38,43688,80,6,11,1787885135585,Benign,Benign,0,0
10.3.1.214,10.3.2.38,43700,80,6,11,1787885136603,Benign,Benign,0,0
10.3.1.214,10.3.2.38,43712,80,6,11,1787885137636,Benign,Benign,0,0
10.3.1.214,10.3.2.38,43720,80,6,10,1787885138664,Benign,Benign,0,0
10.3.1.214,10.3.2.38,43724,80,6,11,1787885139692,Benign,Benign,0,0
10.3.1.214,10.3.2.38,52804,80,6,11,1787885140727,Benign,Benign,0,0
10.3.1.214,10.3.2.38,52806,80,6,11,1787885141758,Benign,Benign,0,0
10.3.1.214,10.3.2.38,52820,80,6,11,1787885142778,Benign,Benign,0,0
10.3.1.214,10.3.2.38,52832,80,6,10,1787885143799,Benign,Benign,0,0
10.3.1.214,10.3.2.38,52842,80,6,11,1787885144832,Benign,Benign,0,0
10.3.1.214,10.3.2.38,52844,80,6,26,1787885145851,Benign,Benign,0,0
10.3.1.214,10.3.2.38,52852,80,6,26,1787885146871,Benign,Benign,0,0
10.3.1.214,10.3.2.38,52860,80,6,11,1787885147903,Benign,Benign,0,0
10.3.1.214,10.3.2.38,52872,80,6,26,1787885148933,Benign,Benign,0,0
